pos_ft,acceleration
0.75104,0.0336369
0.75595,0.0330769
0.75595,0.0330769
0.76085,0
0.76085,0.0376201
0.76576,0.0376201
0.76576,0
0.77067,0
0.77067,0.04298
0.77558,0.0481
0.77558,0.053011
0.78049,0.0612026
0.78049,0.072898
0.7854,0
0.7854,0.079665
0.79031,0.079665
0.79031,0
0.79522,0.083153
0.79522,0.083281
0.80012,0
0.80012,0.079337
0.80503,0.076097
0.80503,0.076097
0.80994,0.074498
0.80994,0.071778
0.81485,0.068338
0.81485,0.069586
0.81976,0.069586
0.82467,0.069586
0.82467,0.078401
0.82958,0.078401
0.82958,0.078401
0.83449,0
0.83449,0.080257
0.83939,0.083297
0.83939,0.084977
0.8443,0.086377
0.84921,0.084209
0.84921,0.084209
0.85412,0.081713
0.85412,0.081713
0.85903,0
0.85903,0.078161
0.86394,0.078161
0.86885,0
0.86885,0.071663714
0.87376,0.071663714
0.87376,0.066018
0.87866,0.066018
0.87866,0.064658
0.90321,0.060991316
0.90321,0
0.90812,0.064898
0.90812,0.065218
0.91303,0.068738
0.91793,0.072244667
0.91793,0.074678
0.92284,0.074678
0.92775,0.073858
0.92775,0.073858
0.93266,0.070978
0.93266,0.066498
0.93757,0.066498
0.94248,0.052040211
0.94248,0
0.94739,0.0345805
0.9523,0.031141
0.9523,0.024847833
0.9572,0.019222
0.96211,0.011462
0.96211,0.011462
0.96702,0.015515333
0.96702,0.019119
0.97193,0.019119
0.97684,0.023557
0.97684,0.026373
0.98175,0.026373
0.98666,0
0.98666,0.028541
0.99157,0.030061
0.99647,0.032074333
0.99647,0.032453
1.00138,0.031573
1.00629,0
1.0112,0.030981
1.0112,0.031121
1.01611,0
1.02102,0.032405
1.02102,0.0350124
1.02593,0
1.03084,0.03818
1.03084,0.040004
1.03574,0.0431
1.04065,0.0457
1.04556,0.055331
1.04556,0.055331
1.05047,0.059527571
1.05538,0.061059
1.05538,0.061059
1.08483,0.062898
1.08483,0.0614588
1.08974,0.057331
1.09465,0
1.09956,0.055139
1.09956,0.050143667
1.10447,0.050143667
1.10937,0.03638045
1.11428,0.025429
1.11428,0
1.11919,0.027318778
1.1241,0.027318778
1.12901,0.030501
1.13392,0.0359883
1.13392,0.0359883
1.13883,0.0493154
1.14374,0.062338333
1.14864,0.062338333
1.14864,0.069418
1.15355,0.07819315
1.15846,0.07819315
1.16337,0.07819315
1.16828,0
1.17319,0.0773932
1.17319,0.0773932
1.1781,0
1.18301,0.071937833
1.18791,0.0589469
1.19282,0
1.19773,0.051779
1.19773,0.051779
1.20264,0
1.20755,0.0567228
1.21246,0.0567228
1.21737,0
1.22228,0
1.22228,0.076826222
1.22718,0.085857
1.23209,0.085857
1.237,0.086497
1.24191,0.109279
1.24682,0
1.25173,0.117147833
1.25664,0.118134375
1.25664,0
1.26155,0.114495
1.26645,0.114495
1.27136,0
1.27627,0.111615
1.28118,0.111615
1.29591,0.1032155
1.30082,0.087796625
1.30572,0.082657
1.30572,0.080257
1.31063,0.080257
1.31554,0.0768334
1.32045,0.0768334
1.32536,0.0768334
1.33027,0
1.33518,0.076817333
1.34009,0.081430333
1.34499,0.085297
1.3499,0.087457
1.35481,0.1019516
1.35972,0.1019516
1.36463,0.110367
1.36954,0.110367
1.37445,0
1.37936,0.1144309
1.38426,0.1144309
1.38917,0
1.39408,0.110927
1.39899,0.110927
1.4039,0
1.40881,0.111415
1.41372,0.111415
1.41863,0.1168786
1.42353,0
1.42844,0.124782
1.43335,0.1342852
1.43826,0
1.44317,0.1435808
1.44808,0.1435808
1.45299,0
1.4579,0.147990182
1.4628,0.147238667
1.46771,0
1.47262,0.145212
1.47753,0.142030667
1.48735,0.1336772
1.49226,0.123022
1.49717,0.123022
1.50207,0.123022
1.50698,0
1.51189,0.114559
1.5168,0.114559
1.52171,0
1.52662,0.112047
1.53153,0.113375
1.54134,0.114850556
1.55607,0.121089556
1.56098,0.120094
1.56589,0.111268333
1.5708,0.10513525
1.58061,0.0953121
1.58552,0.0953121
1.59043,0
1.59534,0
1.60025,0.083319857
1.60516,0.076577667
1.61497,0
1.61988,0.073778
1.62479,0.061094222
1.6297,0
1.63461,0.058323
1.64443,0.0624185
1.64934,0
1.65424,0.067042
1.65915,0.067042
1.66406,0
1.67388,0.074200571
1.67879,0.074200571
1.6837,0.0858409
1.68861,0.091376
1.69842,0.096256
1.70333,0.104113222
1.70824,0.108628333
1.71315,0.108628333
1.72297,0.108049286
1.72788,0.109055
1.73278,0.109055
1.7426,0.105283857
1.74751,0
